%% LaTeX2e file `nexus.data'
%% generated by the `filecontents' environment
%% from source `super_main' on 2016/05/25.
%%
1 6
2 7
3 14
4 17
5 23
6 28
7 34
8 38
9 37
10 51
11 52
12 58
13 51
14 54
15 59
16 82
17 81
18 85
19 74
20 95
21 92
22 87
23 90
24 114
25 119
